A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-9.71709E+001	1.46489E+000	6.25019E+002	8.13013E+001	-1.61748E+001	-1.58086E+001
-1.38676E+002	8.10572E+001	4.00891E+002	5.46892E+001	-6.59200E+000	-8.30103E+000
-6.34785E+000	1.23539E+002	3.47667E+002	2.26447E+001	-8.30103E+000	-1.83111E+000
-2.78329E+001	6.20136E+001	3.28135E+002	-7.62963E+000	-6.46992E+000	-9.52177E+000
-1.87017E+002	-9.37529E+001	5.77166E+002	-5.33464E+001	1.03763E+001	-7.81274E+000
-2.18757E+002	-1.35746E+002	8.98465E+002	-8.17286E+001	2.17292E+001	6.59200E+000
-1.67486E+002	-1.96295E+002	1.27445E+003	-8.69167E+001	7.50755E+000	1.30619E+001
1.17191E+001	-2.95907E+002	1.75249E+003	-7.55638E+001	2.50252E+000	2.08747E+001
1.04984E+002	-3.51085E+002	1.96735E+003	-3.18613E+001	7.50755E+000	1.55644E+001
5.42009E+001	-2.76376E+002	1.71197E+003	3.12510E+001	-8.05689E+000	-2.01422E+000
4.10169E+001	-1.73345E+002	1.29008E+003	7.39158E+001	-1.95929E+001	-1.08646E+001
-4.88296E+001	-9.27763E+001	8.90652E+002	8.55129E+001	-1.60527E+001	-1.48320E+001
-9.86358E+001	-1.02542E+001	6.23554E+002	7.47093E+001	-1.11698E+001	-1.11087E+001
-9.71709E+001	6.78732E+001	4.29212E+002	5.05387E+001	-5.92059E+000	-4.39467E+000
-5.22477E+001	1.22074E+002	2.92001E+002	2.13019E+001	-6.46992E+000	-3.96741E+000
-9.76592E+001	8.25220E+001	3.08115E+002	-1.69073E+001	-2.38044E+000	-4.94400E+000
-8.88699E+001	-4.24818E+001	6.25507E+002	-6.14032E+001	1.03763E+001	1.89215E+000
-1.47954E+002	-1.46977E+002	1.09867E+003	-8.85037E+001	2.47200E+001	6.40889E+000
-6.29902E+001	-1.88971E+002	1.43999E+003	-7.59911E+001	9.52177E+000	1.11087E+001
1.87017E+002	-1.95318E+002	1.67144E+003	-4.82192E+001	-2.80770E+000	1.44047E+001
9.66826E+001	-2.79794E+002	1.77544E+003	-1.72124E+001	3.35704E+000	-3.54015E+000
-8.39869E+001	-3.06650E+002	1.64556E+003	2.38655E+001	-2.25837E+000	-1.30009E+001
-2.78329E+001	-1.86041E+002	1.23685E+003	6.21967E+001	-1.47710E+001	-7.75170E+000
-1.90435E+001	-7.03146E+001	8.73074E+002	7.56859E+001	-2.41096E+001	-1.22074E+001
-9.91241E+001	-1.66021E+001	6.40645E+002	6.26240E+001	-1.49541E+001	-1.38554E+001
-1.12308E+002	1.17191E+001	5.58611E+002	3.72326E+001	-1.03763E+000	-4.02844E+000
-6.10370E+001	4.88296E+001	4.78042E+002	1.92267E+001	-1.46489E+000	-4.27259E-001
-4.29701E+001	8.88699E+001	3.40342E+002	1.22074E-001	-3.84533E+000	-1.64800E+000
-7.86157E+001	2.39265E+001	4.07727E+002	-3.83312E+001	9.15555E-001	-7.32444E-001
-1.47954E+002	-1.12796E+002	8.35963E+002	-8.40480E+001	1.75176E+001	4.63881E+000
-5.22477E+001	-2.61238E+002	1.46294E+003	-1.04556E+002	2.80160E+001	1.86163E+001
1.84088E+002	-3.64757E+002	1.97809E+003	-7.90429E+001	2.11798E+001	2.34382E+001
1.00101E+002	-3.62316E+002	1.96197E+003	-1.19022E+001	-4.94400E+000	-1.34281E+000
1.56255E+001	-2.66121E+002	1.56597E+003	4.86465E+001	-2.19733E+001	-1.49541E+001
-1.36723E+001	-1.60161E+002	1.10453E+003	7.85546E+001	-1.88604E+001	-1.77007E+001
-1.02054E+002	-8.05689E+001	7.68090E+002	8.00195E+001	-9.39970E+000	-1.90435E+001
-1.30863E+002	-1.95318E+001	6.15741E+002	6.18305E+001	-1.22074E+000	-1.30619E+001
-8.59401E+001	6.15253E+001	4.90249E+002	4.22987E+001	2.44148E+000	-6.53096E+000
-1.06937E+002	1.01077E+002	3.47667E+002	2.21564E+001	-1.77007E+000	-8.66726E+000
