A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
8.47194E+002	-1.17191E+002	5.94256E+002	-1.09256E+001	-6.10370E+001	2.23395E+001
8.12525E+002	-1.23539E+002	5.25895E+002	-1.95318E+001	-2.69173E+001	1.76397E+001
8.15943E+002	-1.71880E+002	5.57146E+002	-3.60729E+001	-3.16782E+001	1.40385E+000
8.24244E+002	-1.65532E+002	5.16129E+002	-3.18003E+001	-5.18204E+001	-3.29600E+000
8.66726E+002	-2.10944E+002	4.91714E+002	-2.97250E+001	-5.01114E+001	1.34281E+001
8.63796E+002	-2.27058E+002	4.64370E+002	-2.29499E+001	-3.51573E+001	2.89315E+001
8.60378E+002	-2.51961E+002	4.43861E+002	-1.74566E+001	-2.96030E+001	4.00403E+001
8.61843E+002	-2.89560E+002	4.22376E+002	-1.13529E+001	-2.36824E+001	4.92569E+001
8.60866E+002	-3.24717E+002	3.99915E+002	-9.27763E+000	-2.13630E+001	4.86465E+001
8.68679E+002	-3.64269E+002	4.01379E+002	-8.36207E+000	-1.67241E+001	4.73647E+001
8.63308E+002	-3.94543E+002	3.90149E+002	-2.80770E+000	-1.18412E+001	4.26038E+001
8.38893E+002	-4.12122E+002	4.14075E+002	1.64800E+000	-7.50755E+000	5.68865E+001
7.34397E+002	-4.92203E+002	3.52550E+002	8.24000E+000	1.39164E+001	8.89920E+001
7.40745E+002	-5.18082E+002	3.70617E+002	1.03763E+000	4.82192E+000	9.13114E+001
7.94458E+002	-5.85955E+002	3.86242E+002	-4.69985E+000	-1.64800E+000	7.49535E+001
7.62230E+002	-6.34297E+002	3.95520E+002	-8.60622E+000	-7.38548E+000	4.76699E+001
7.14377E+002	-6.28925E+002	3.54991E+002	-7.75170E+000	8.11792E+000	4.10779E+001
6.61641E+002	-6.32344E+002	3.65734E+002	-2.08747E+001	2.24616E+001	3.88195E+001
6.55782E+002	-6.86056E+002	4.13099E+002	-1.70904E+001	1.36113E+001	2.74056E+001
6.25996E+002	-6.83126E+002	4.02356E+002	1.09867E+000	3.47911E+000	1.78228E+001
6.21113E+002	-6.79708E+002	3.73547E+002	6.46992E+000	-5.55437E+000	1.41606E+001
6.62130E+002	-7.07053E+002	3.66222E+002	-1.58696E+000	-8.91140E+000	1.91046E+001
6.02069E+002	-7.10959E+002	3.52062E+002	-1.12918E+001	1.04373E+001	2.40486E+001
5.54704E+002	-7.34397E+002	3.73547E+002	-2.02033E+001	2.66121E+001	3.58898E+001
5.24430E+002	-7.45140E+002	3.96008E+002	-2.02643E+001	3.06406E+001	3.88195E+001
4.91226E+002	-7.79321E+002	3.91125E+002	-1.44047E+001	3.41197E+001	4.32142E+001
4.72671E+002	-8.15455E+002	4.02356E+002	-9.33866E+000	3.40587E+001	4.87075E+001
4.33607E+002	-8.09595E+002	4.01868E+002	-7.87378E+000	3.24107E+001	4.64492E+001
4.09680E+002	-8.48659E+002	4.14075E+002	-1.23295E+001	2.30720E+001	4.26649E+001
4.16028E+002	-8.63308E+002	4.17005E+002	-5.67644E+000	1.61138E+001	3.89416E+001
3.76965E+002	-8.72097E+002	4.12122E+002	-1.46489E+000	7.44652E+000	2.61238E+001
3.48155E+002	-8.70632E+002	4.10657E+002	2.44148E-001	5.49333E-001	1.56255E+001
